Date,Open,High,Low,Close,Volume,Index,Avg
2019-09-03 00:00:00,2909.010009765625,2914.389892578125,2891.85009765625,2906.27001953125,3426790000,S&P 500,2903.1199951171875
2019-09-04 00:00:00,2924.669921875,2938.840087890625,2921.860107421875,2937.780029296875,3163260000,S&P 500,2930.35009765625
2019-09-05 00:00:00,2960.60009765625,2985.860107421875,2960.60009765625,2976.0,3890700000,S&P 500,2973.2301025390625
2019-09-06 00:00:00,2980.330078125,2985.030029296875,2972.510009765625,2978.7099609375,3208280000,S&P 500,2978.77001953125
2019-09-09 00:00:00,2988.429931640625,2989.429931640625,2969.389892578125,2978.429931640625,4002890000,S&P 500,2979.409912109375
2019-09-10 00:00:00,2971.010009765625,2979.389892578125,2957.010009765625,2979.389892578125,4390770000,S&P 500,2968.199951171875
2019-09-11 00:00:00,2981.409912109375,3000.929931640625,2975.31005859375,3000.929931640625,3927550000,S&P 500,2988.1199951171875
2019-09-12 00:00:00,3009.080078125,3020.739990234375,3000.919921875,3009.570068359375,3791860000,S&P 500,3010.8299560546875
2019-09-13 00:00:00,3012.2099609375,3017.330078125,3002.89990234375,3007.389892578125,3520060000,S&P 500,3010.114990234375
2019-09-16 00:00:00,2996.409912109375,3002.18994140625,2990.669921875,2997.9599609375,4274640000,S&P 500,2996.429931640625
2019-09-17 00:00:00,2995.669921875,3006.2099609375,2993.72998046875,3005.699951171875,3671840000,S&P 500,2999.969970703125
2019-09-18 00:00:00,3001.5,3007.830078125,2978.570068359375,3006.72998046875,3435540000,S&P 500,2993.2000732421875
2019-09-19 00:00:00,3010.360107421875,3021.989990234375,3003.159912109375,3006.7900390625,3251290000,S&P 500,3012.574951171875
2019-09-20 00:00:00,3008.419921875,3016.3701171875,2984.679931640625,2992.070068359375,6094740000,S&P 500,3000.5250244140625
2019-09-23 00:00:00,2983.5,2999.14990234375,2982.22998046875,2991.780029296875,3186590000,S&P 500,2990.68994140625
2019-09-24 00:00:00,3002.429931640625,3007.97998046875,2957.72998046875,2966.60009765625,3868160000,S&P 500,2982.85498046875
2019-09-25 00:00:00,2968.35009765625,2989.820068359375,2952.860107421875,2984.8701171875,3318870000,S&P 500,2971.340087890625
