"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 23, 2019","3,606.89","3,595.78","3,608.63","3,585.76","36.31M","0.06%"
"Oct 22, 2019","3,604.82","3,600.94","3,609.34","3,586.64","32.15M","0.13%"
"Oct 21, 2019","3,600.08","3,583.37","3,608.95","3,578.81","34.60M","0.58%"
"Oct 18, 2019","3,579.41","3,587.40","3,596.71","3,571.01","34.80M","-0.26%"
"Oct 17, 2019","3,588.62","3,595.73","3,630.43","3,588.62","44.31M","-0.30%"
"Oct 16, 2019","3,599.25","3,600.76","3,610.44","3,588.09","46.72M","0.02%"
"Oct 15, 2019","3,598.65","3,562.39","3,610.31","3,562.39","42.81M","1.19%"
"Oct 14, 2019","3,556.26","3,565.38","3,565.38","3,531.23","25.85M","-0.38%"
"Oct 11, 2019","3,569.92","3,494.78","3,569.92","3,490.52","47.63M","2.17%"
"Oct 10, 2019","3,493.96","3,469.99","3,501.19","3,445.44","35.74M","0.92%"
"Oct 09, 2019","3,462.11","3,433.17","3,473.92","3,427.77","25.25M","0.85%"
"Oct 08, 2019","3,432.76","3,473.24","3,476.46","3,426.82","28.96M","-1.11%"
"Oct 07, 2019","3,471.24","3,442.14","3,471.88","3,433.87","24.77M","0.71%"
"Oct 04, 2019","3,446.71","3,423.75","3,446.71","3,406.44","32.07M","0.86%"
"Oct 03, 2019","3,417.37","3,414.14","3,431.24","3,398.64","32.35M","0.12%"
"Oct 02, 2019","3,413.31","3,516.88","3,516.88","3,413.31","46.05M","-2.98%"
"Oct 01, 2019","3,518.25","3,573.08","3,588.68","3,518.25","35.33M","-1.43%"
"Sep 30, 2019","3,569.45","3,545.07","3,570.15","3,536.91","34.92M","0.66%"
"Sep 27, 2019","3,545.88","3,534.47","3,553.25","3,534.47","27.26M","0.39%"
"Sep 26, 2019","3,532.18","3,509.80","3,538.16","3,506.05","30.75M","0.55%"
"Sep 25, 2019","3,513.03","3,526.84","3,526.84","3,480.28","35.38M","-0.54%"
"Sep 24, 2019","3,532.05","3,542.53","3,547.98","3,531.65","29.82M","-0.14%"
"Sep 23, 2019","3,536.97","3,565.96","3,565.96","3,526.26","35.11M","-0.96%"
"Sep 20, 2019","3,571.39","3,552.73","3,578.04","3,546.30","87.16M","0.53%"
"Sep 19, 2019","3,552.65","3,527.50","3,554.87","3,524.37","34.83M","0.70%"
"Sep 18, 2019","3,528.04","3,520.88","3,536.65","3,518.01","32.02M","0.19%"
"Sep 17, 2019","3,521.26","3,517.57","3,527.00","3,506.36","38.65M","0.08%"
"Sep 16, 2019","3,518.45","3,540.47","3,540.47","3,518.45","39.32M","-0.89%"
"Sep 13, 2019","3,550.11","3,539.93","3,555.85","3,534.38","44.76M","0.32%"
"Sep 12, 2019","3,538.86","3,522.04","3,555.10","3,512.59","51.02M","0.63%"
"Sep 11, 2019","3,516.82","3,502.24","3,520.95","3,502.24","44.09M","0.51%"
"Sep 10, 2019","3,498.99","3,493.80","3,501.68","3,479.58","46.31M","0.11%"
"Sep 09, 2019","3,495.02","3,495.85","3,503.05","3,486.75","34.62M","-0.00%"
"Sep 06, 2019","3,495.19","3,484.86","3,495.87","3,479.62","35.28M","0.30%"
"Sep 05, 2019","3,484.70","3,453.99","3,488.48","3,453.99","40.11M","0.98%"
"Sep 04, 2019","3,450.83","3,424.98","3,461.06","3,424.98","36.06M","0.88%"
"Sep 03, 2019","3,420.74","3,432.22","3,432.22","3,406.55","28.43M","-0.34%"
